STA,DATE,YEAR,MONTH,MONTH#,NH4,ZscoreNH4,meanZ,CUSUM,mean NH4,wetdryave
18,2/23/2000,2000,FEBRUARY,2,1.27 ,-0.632539541,-0.541112497,-14.12297459,1.68,
1,3/15/2000,2000,MARCH,3,0.77,-0.744035936,,,,
17,3/15/2000,2000,MARCH,3,1.37,-0.610240262,,,,
18,3/15/2000,2000,MARCH,3,0.41,-0.824313341,-0.726196513,-14.8491711,0.85,
1,4/12/2000,2000,APRIL,4,2.26 ,-0.411776679,,,,
17,4/12/2000,2000,APRIL,4,0.44 ,-0.817623557,,,,
18,4/12/2000,2000,APRIL,4,0.61 ,-0.779714783,-0.669705006,-15.51887611,1.103333333,
1,5/15/2000,2000,MAY,5,5.20 ,0.243822124,,,,
17,5/15/2000,2000,MAY,5,2.48 ,-0.362718265,,,,
18,5/15/2000,2000,MAY,5,1.01 ,-0.690517667,-0.269804603,-15.78868071,2.896666667,
1,6/14/2000,2000,JUNE,6,0.6 ,-0.788634494,,,,
17,6/14/2000,2000,JUNE,6,0.02 ,-0.911280529,,,,
18,6/14/2000,2000,JUNE,6,0.16 ,-0.880061538,-0.859992187,-16.6486729,0.25,
1,7/13/2000,2000,JULY,7,5.12 ,0.225982701,,,,
17,7/13/2000,2000,JULY,7,0.85 ,-0.726196513,,,,
18,7/13/2000,2000,JULY,7,1.90 ,-0.492054083,-0.330755965,-16.97942886,2.623333333,
1,8/16/2000,2000,AUGUST,8,13.20 ,2.027764446,,,,
17,8/16/2000,2000,AUGUST,8,9.63 ,1.231680185,,,,
18,8/16/2000,2000,AUGUST,8,12.40 ,1.849370213,1.702938281,-15.27649058,11.74333333,
1,9/13/2000,2000,SEPTEMBER,9,1.76 ,-0.523273074,,,,
17,9/13/2000,2000,SEPTEMBER,9,1.12 ,-0.66598846,,,,
18,9/13/2000,2000,SEPTEMBER,9,1.80 ,-0.514353362,-0.567871632,-15.84436221,1.56,
1,10/19/2000,2000,OCTOBER,10,13.3 ,2.050063725,,,,
17,10/19/2000,2000,OCTOBER,10,6.50 ,0.533712751,,,,
18,10/19/2000,2000,OCTOBER,10,7.11 ,0.669738353,1.084504943,-14.75985727,8.97,
1,11/15/2000,2000,NOVEMBER,11,9.43 ,1.187081627,,,,
17,11/15/2000,2000,NOVEMBER,11,3.43 ,-0.150875114,,,,
18,11/15/2000,2000,NOVEMBER,11,2.62 ,-0.331499274,0.234902413,-14.52495486,5.16,
1,12/15/2000,2000,DECEMBER,12,6.79 ,0.598380661,,,,
17,12/15/2000,2000,DECEMBER,12,0.91 ,-0.712816946,,,,
18,12/15/2000,2000,DECEMBER,12,0.22 ,-0.866681971,-0.327039419,-14.85199427,2.64,4.480416667
1,1/10/2001,2001,JANUARY,1,,,,,,
17,1/10/2001,2001,JANUARY,1,,,,,,
18,1/10/2001,2001,JANUARY,1,,,,,,
1,2/6/2001,2001,FEBRUARY,2,,,,,,
17,2/6/2001,2001,FEBRUARY,2,,,,,,
18,2/6/2001,2001,FEBRUARY,2,,,,,,
1,3/13/2001,2001,MARCH,3,7.37,0.727716479,,,,
17,3/13/2001,2001,MARCH,3,6.17,0.460125131,,,,
18,3/13/2001,2001,MARCH,3,5.31,0.268351331,0.485397647,-14.36659663,6.283333333,
1,4/19/2001,2001,APRIL,4,33.7,6.599116644,,,,
17,4/19/2001,2001,APRIL,4,12.9,1.960866608,,,,
18,4/19/2001,2001,APRIL,4,3.53,-0.128575835,2.810469139,-11.55612749,16.71,
