STA,DATE,YEAR,MONTH,MONTH#,PO4,Zscore PO4,meanZ,CUSUM,mean PO4,wetdryave
18,12/15/2000,2000,DECEMBER,12,0.35,-0.343711365,0.132955939,-55.51635216,1.53,1.40125
1,1/10/2001,2001,JANUARY,1,,,,,,
17,1/10/2001,2001,JANUARY,1,,,,,,
18,1/10/2001,2001,JANUARY,1,,,,,,
1,2/6/2001,2001,FEBRUARY,2,,,,,,
17,2/6/2001,2001,FEBRUARY,2,,,,,,
18,2/6/2001,2001,FEBRUARY,2,,,,,,
1,3/13/2001,2001,MARCH,3,0.25,-0.586230121,,,,
17,3/13/2001,2001,MARCH,3,0.07,-1.022763884,,,,
18,3/13/2001,2001,MARCH,3,0.31,-0.440718867,-2.049712872,-57.56606503,0.63,
1,4/19/2001,2001,APRIL,4,0.59,0.238333652,,,,
17,4/19/2001,2001,APRIL,4,0.1,-0.950008256,,,,
18,4/19/2001,2001,APRIL,4,0.09,-0.974260132,-1.685934737,-59.25199977,0.78,
1,5/17/2001,2001,MAY,5,0.15,-0.828748878,,,,
17,5/17/2001,2001,MAY,5,0.08,-0.998512008,,,,
18,5/17/2001,2001,MAY,5,0.22,-0.658985748,-2.486246634,-61.7382464,0.45,
1,6/16/2001,2001,JUNE,6,0.9,0.990141798,,,,
17,6/16/2001,2001,JUNE,6,0.87,0.917386171,,,,
18,6/16/2001,2001,JUNE,6,0.6,0.262585527,2.170113496,-59.56813291,2.37,
1,7/17/2001,2001,JULY,7,0.57,0.1898299,,,,
17,7/17/2001,2001,JULY,7,0.6,0.262585527,,,,
18,7/17/2001,2001,JULY,7,0.54,0.117074273,0.569489701,-58.99864321,1.71,
1,8/16/2001,2001,AUGUST,8,0.7,0.505104284,,,,
17,8/16/2001,2001,AUGUST,8,0.33,-0.392215116,,,,
18,8/16/2001,2001,AUGUST,8,0.53,0.092822398,0.205711566,-58.79293164,1.56,
1,9/18/2001,2001,SEPTEMBER,9,1.03,1.305416181,,,,
17,9/18/2001,2001,SEPTEMBER,9,0.74,0.602111787,,,,
18,9/18/2001,2001,SEPTEMBER,9,0.85,0.868882419,2.776410388,-56.01652125,2.62,
1,10/17/2001,2001,OCTOBER,10,0.84,0.844630544,,,,
17,10/17/2001,2001,OCTOBER,10,0.74,0.602111787,,,,
18,10/17/2001,2001,OCTOBER,10,1,1.232660554,2.679402885,-53.33711837,2.58,
1,11/8/2001,2001,NOVEMBER,11,2.48,4.821938155,,,,
17,11/8/2001,2001,NOVEMBER,11,1.68,2.8817881,,,,
18,11/8/2001,2001,NOVEMBER,11,0.59,0.238333652,7.942059907,-45.39505846,4.75,
1,12/3/2001,2001,DECEMBER,12,1.06,1.378171808,,,,
17,12/3/2001,2001,DECEMBER,12,0.53,0.092822398,,,,
18,12/3/2001,2001,DECEMBER,12,0.96,1.135653052,2.606647258,-42.78841121,2.55,
1,1/14/2002,2002,JANUARY,1,1.46,2.348246836,,,,
17,1/14/2002,2002,JANUARY,1,0.08,-0.998512008,,,,
18,1/14/2002,2002,JANUARY,1,0.46,-0.076940732,1.272794096,-41.51561711,2,
1,2/13/2002,2002,FEBRUARY,2,0.22,-0.658985748,,,,
17,2/13/2002,2002,FEBRUARY,2,0.23,-0.634733873,,,,
18,2/13/2002,2002,FEBRUARY,2,0.29,-0.489222619,-1.78294224,-43.29855935,0.74,
1,3/19/2002,2002,MARCH,3,0.22,-0.658985748,,,,
17,3/19/2002,2002,MARCH,3,0.23,-0.634733873,,,,
18,3/19/2002,2002,MARCH,3,0.29,-0.489222619,-1.78294224,-45.08150159,0.74,
1,4/15/2002,2002,APRIL,4,0.43,-0.149696359,,,,
17,4/15/2002,2002,APRIL,4,0.81,0.771874917,,,,
18,4/15/2002,2002,APRIL,4,0.07,-1.022763884,-0.400585326,-45.48208692,1.31,
1,5/13/2002,2002,MAY,5,0.28,-0.513474494,,,,
17,5/13/2002,2002,MAY,5,0.11,-0.925756381,,,,
18,5/13/2002,2002,MAY,5,0.14,-0.853000754,-2.292231629,-47.77431854,0.53,
1,6/11/2002,2002,JUNE,6,0.12,-0.901504505,,,,
17,6/11/2002,2002,JUNE,6,0.32,-0.416466992,,,,
18,6/11/2002,2002,JUNE,6,0.13,-0.877252629,-2.195224126,-49.96954267,0.57,
1,7/18/2002,2002,JULY,7,0.69,0.480852408,,,,
17,7/18/2002,2002,JULY,7,0.21,-0.683237624,,,,
18,7/18/2002,2002,JULY,7,0.22,-0.658985748,-0.861370964,-50.83091363,1.12,
1,8/15/2002,2002,AUGUST,8,2.24,4.239893138,,,,
17,8/15/2002,2002,AUGUST,8,1.94,3.512336868,,,,
18,8/15/2002,2002,AUGUST,8,1.78,3.124306857,10.87653686,-39.95437677,5.96,1.902352941
1,9/17/2002,2002,SEPTEMBER,9,1.46,2.348246836,,,,
17,9/17/2002,2002,SEPTEMBER,9,1.02,1.281164306,,,,
18,9/17/2002,2002,SEPTEMBER,9,0.66,0.408096781,4.037507923,-35.91686885,3.14,
1,10/15/2002,2002,OCTOBER,10,0.95,1.111401176,,,,
17,10/15/2002,2002,OCTOBER,10,1.15,1.59643869,,,,
18,10/15/2002,2002,OCTOBER,10,1.07,1.402423684,4.11026355,-31.8066053,3.17,
1,11/15/2002,2002,NOVEMBER,11,0.79,0.723371165,,,,
17,11/15/2002,2002,NOVEMBER,11,0.51,0.044318646,,,,
18,11/15/2002,2002,NOVEMBER,11,0.39,-0.246703862,0.52098595,-31.28561935,1.69,
1,12/19/2002,2002,DECEMBER,12,0.35,-0.343711365,,,,
17,12/19/2002,2002,DECEMBER,12,0.54,0.117074273,,,,
18,12/19/2002,2002,DECEMBER,12,0.53,0.092822398,-0.133814694,-31.41943404,1.42,
1,1/14/2003,2003,JANUARY,1,0.31,-0.440718867,,,,
17,1/14/2003,2003,JANUARY,1,0.33,-0.392215116,,,,
18,1/14/2003,2003,JANUARY,1,0.32,-0.416466992,-1.249400975,-32.66883502,0.96,
1,2/13/2003,2003,FEBRUARY,2,0.27,-0.53772637,,,,
17,2/13/2003,2003,FEBRUARY,2,0.11,-0.925756381,,,,
18,2/13/2003,2003,FEBRUARY,2,0.13,-0.877252629,-2.34073538,-35.0095704,0.51,
1,3/10/2003,2003,MARCH,3,0.26,-0.561978246,,,,
17,3/10/2003,2003,MARCH,3,0.13,-0.877252629,,,,
18,3/10/2003,2003,MARCH,3,0.17,-0.780245127,-2.219476002,-37.2290464,0.56,
1,4/14/2003,2003,APRIL,4,0.09,-0.974260132,,,,
17,4/14/2003,2003,APRIL,4,0.07,-1.022763884,,,,
